filename,width,height,class,xmin,ymin,xmax,ymax
/home/pranav/Mlabs/project/object_detection/labels/train/663.jpg,432,768,shampoo,223,459,248,518
/home/pranav/Mlabs/project/object_detection/labels/train/663.jpg,432,768,surf,175,437,199,522
/home/pranav/Mlabs/project/object_detection/labels/train/663.jpg,432,768,bag,91,470,127,603
/home/pranav/Mlabs/project/object_detection/labels/train/663.jpg,432,768,bag,292,544,343,682
/home/pranav/Mlabs/project/object_detection/labels/train/634.jpg,432,768,shampoo,227,460,255,522
/home/pranav/Mlabs/project/object_detection/labels/train/634.jpg,432,768,all-out,136,392,178,441
/home/pranav/Mlabs/project/object_detection/labels/train/634.jpg,432,768,surf,180,448,221,522
/home/pranav/Mlabs/project/object_detection/labels/train/634.jpg,432,768,bag,100,446,180,577
/home/pranav/Mlabs/project/object_detection/labels/train/634.jpg,432,768,bag,270,476,321,618
/home/pranav/Mlabs/project/object_detection/labels/train/97.jpg,432,768,handwash,237,255,273,318
/home/pranav/Mlabs/project/object_detection/labels/train/97.jpg,432,768,shampoo,275,238,312,318
/home/pranav/Mlabs/project/object_detection/labels/train/97.jpg,432,768,all-out,217,344,262,389
/home/pranav/Mlabs/project/object_detection/labels/train/97.jpg,432,768,speaker,261,343,290,393
/home/pranav/Mlabs/project/object_detection/labels/train/97.jpg,432,768,cinthol,290,340,312,393
/home/pranav/Mlabs/project/object_detection/labels/train/97.jpg,432,768,kettle,224,420,274,492
/home/pranav/Mlabs/project/object_detection/labels/train/97.jpg,432,768,surf,279,412,313,501
/home/pranav/Mlabs/project/object_detection/labels/train/97.jpg,432,768,bag,123,447,198,585
/home/pranav/Mlabs/project/object_detection/labels/train/685.jpg,432,768,handwash,202,312,231,351
/home/pranav/Mlabs/project/object_detection/labels/train/685.jpg,432,768,shampoo,224,375,245,434
/home/pranav/Mlabs/project/object_detection/labels/train/685.jpg,432,768,all-out,171,257,208,289
/home/pranav/Mlabs/project/object_detection/labels/train/685.jpg,432,768,speaker,229,314,257,351
/home/pranav/Mlabs/project/object_detection/labels/train/685.jpg,432,768,cinthol,173,307,196,346
/home/pranav/Mlabs/project/object_detection/labels/train/685.jpg,432,768,kettle,207,230,254,284
/home/pranav/Mlabs/project/object_detection/labels/train/685.jpg,432,768,surf,181,369,216,432
/home/pranav/Mlabs/project/object_detection/labels/train/685.jpg,432,768,bag,125,364,161,484
/home/pranav/Mlabs/project/object_detection/labels/train/685.jpg,432,768,bag,287,412,343,533
/home/pranav/Mlabs/project/object_detection/labels/train/167.jpg,432,768,shampoo,246,232,274,305
/home/pranav/Mlabs/project/object_detection/labels/train/167.jpg,432,768,all-out,185,262,235,308
/home/pranav/Mlabs/project/object_detection/labels/train/167.jpg,432,768,cinthol,214,331,236,384
/home/pranav/Mlabs/project/object_detection/labels/train/167.jpg,432,768,kettle,190,415,240,484
/home/pranav/Mlabs/project/object_detection/labels/train/167.jpg,432,768,bag,97,417,155,550
/home/pranav/Mlabs/project/object_detection/labels/train/855.jpg,432,768,all-out,98,343,133,379
/home/pranav/Mlabs/project/object_detection/labels/train/855.jpg,432,768,speaker,145,375,181,416
/home/pranav/Mlabs/project/object_detection/labels/train/855.jpg,432,768,kettle,195,302,240,346
/home/pranav/Mlabs/project/object_detection/labels/train/855.jpg,432,768,surf,198,435,231,497
/home/pranav/Mlabs/project/object_detection/labels/train/855.jpg,432,768,bag,87,407,133,504
/home/pranav/Mlabs/project/object_detection/labels/train/855.jpg,432,768,bag,274,503,336,614
/home/pranav/Mlabs/project/object_detection/labels/train/746.jpg,432,768,handwash,192,271,223,325
/home/pranav/Mlabs/project/object_detection/labels/train/746.jpg,432,768,shampoo,247,412,269,472
/home/pranav/Mlabs/project/object_detection/labels/train/746.jpg,432,768,all-out,223,348,247,378
/home/pranav/Mlabs/project/object_detection/labels/train/746.jpg,432,768,speaker,255,343,280,384
/home/pranav/Mlabs/project/object_detection/labels/train/746.jpg,432,768,cinthol,194,342,216,384
/home/pranav/Mlabs/project/object_detection/labels/train/746.jpg,432,768,kettle,227,261,287,324
/home/pranav/Mlabs/project/object_detection/labels/train/746.jpg,432,768,surf,195,400,235,468
/home/pranav/Mlabs/project/object_detection/labels/train/746.jpg,432,768,bag,307,454,383,580
/home/pranav/Mlabs/project/object_detection/labels/train/746.jpg,432,768,bag,108,408,180,508
/home/pranav/Mlabs/project/object_detection/labels/train/476.jpg,432,768,shampoo,174,197,201,258
/home/pranav/Mlabs/project/object_detection/labels/train/476.jpg,432,768,all-out,225,288,262,323
/home/pranav/Mlabs/project/object_detection/labels/train/476.jpg,432,768,speaker,227,368,259,417
/home/pranav/Mlabs/project/object_detection/labels/train/476.jpg,432,768,cinthol,174,281,200,324
/home/pranav/Mlabs/project/object_detection/labels/train/476.jpg,432,768,kettle,214,193,270,263
/home/pranav/Mlabs/project/object_detection/labels/train/476.jpg,432,768,surf,174,348,210,410
/home/pranav/Mlabs/project/object_detection/labels/train/476.jpg,432,768,bag,279,347,327,481
/home/pranav/Mlabs/project/object_detection/labels/train/476.jpg,432,768,bag,105,356,148,468
/home/pranav/Mlabs/project/object_detection/labels/train/93.jpg,432,768,shampoo,411,252,435,332
/home/pranav/Mlabs/project/object_detection/labels/train/93.jpg,432,768,speaker,386,363,425,425
/home/pranav/Mlabs/project/object_detection/labels/train/93.jpg,432,768,kettle,341,446,401,529
/home/pranav/Mlabs/project/object_detection/labels/train/93.jpg,432,768,surf,399,442,432,533
/home/pranav/Mlabs/project/object_detection/labels/train/93.jpg,432,768,bag,0,476,56,661
/home/pranav/Mlabs/project/object_detection/labels/train/673.jpg,432,768,shampoo,219,462,248,532
/home/pranav/Mlabs/project/object_detection/labels/train/673.jpg,432,768,surf,172,453,211,530
/home/pranav/Mlabs/project/object_detection/labels/train/673.jpg,432,768,bag,88,467,160,620
/home/pranav/Mlabs/project/object_detection/labels/train/673.jpg,432,768,bag,279,543,345,684
/home/pranav/Mlabs/project/object_detection/labels/train/541.jpg,432,768,shampoo,167,267,202,330
/home/pranav/Mlabs/project/object_detection/labels/train/541.jpg,432,768,all-out,220,358,249,390
/home/pranav/Mlabs/project/object_detection/labels/train/541.jpg,432,768,speaker,176,355,206,399
/home/pranav/Mlabs/project/object_detection/labels/train/541.jpg,432,768,cinthol,223,283,247,326
/home/pranav/Mlabs/project/object_detection/labels/train/541.jpg,432,768,kettle,102,379,150,445
/home/pranav/Mlabs/project/object_detection/labels/train/541.jpg,432,768,surf,160,413,211,489
/home/pranav/Mlabs/project/object_detection/labels/train/541.jpg,432,768,bag,93,456,149,537
/home/pranav/Mlabs/project/object_detection/labels/train/541.jpg,432,768,bag,267,494,313,626
/home/pranav/Mlabs/project/object_detection/labels/train/657.jpg,432,768,shampoo,231,458,260,521
/home/pranav/Mlabs/project/object_detection/labels/train/657.jpg,432,768,surf,112,371,205,436
